Rank,Name,Points
951,Jkolsen,"13,868"
952,jamesp1988,"13,865"
953,Pags24,"13,865"
954,skimbad,"13,861"
955,ctbinvestments,"13,860"
956,Nookx,"13,858"
957,jcart33,"13,834"
958,iluvhermione,"13,817"
959,Pennywize69,"13,810"
960,kswetnam1342,"13,802"
961,BaseballGuyCAA,"13,801"
962,senordfs,"13,767"
963,TRMP31,"13,742"
964,juicetea22,"13,724"
965,sonomajoe,"13,700"
966,Mhesters,"13,689"
967,Klang13,"13,680"
968,chartley19,"13,680"
969,iROCK,"13,678"
970,nickfromcwe,"13,677"
971,Grejewel,"13,675"
972,reeb,"13,661"
973,jmac1014,"13,649"
974,TeamWarRoom,"13,647"
